Name,Size,Type,Alignment,HP,AC,Speed,Challenge_Rating,XP,STR,STR_Mod,DEX,DEX_Mod,CON,CON_Mod,INT,INT_Mod,WIS,WIS_Mod,CHA,CHA_Mod,Saving_Throws,Skills,Vulnerabilities,Damage_Vulnerabilities,Resistances,Immunities,Condition_Immunities,Passive_Perception,Senses,Languages,Traits,Actions,Reactions,Legendary_Actions,Legendary_Actions_Num,Bonus_Actions,Source_Name,Image_URL,cr_numeric,actual_hp,ac_value,speed_ground,speed_fly,speed_swim,speed_burrow,speed_climb,max_speed,movement_types_count,has_flying,size_ordinal,save_proficiency_count,skill_proficiency_count,resistance_count,immunity_count,vulnerability_count,condition_immunity_count,has_darkvision,darkvision_range,has_blindsight,has_truesight,has_tremorsense,passive_perception,action_count,reaction_count,bonus_action_count,has_legendary_actions,legendary_action_count,legendary_actions_per_round,highest_attack_bonus,highest_save_dc,estimated_dpr,feature_dpr,legendary_dpr,total_dpr,has_legendary_resistance,has_magic_resistance,has_regeneration,has_spellcasting,has_grapple,legendary_conditions,inflicts_poisoned,inflicts_blinded,inflicts_charmed,inflicts_deafened,inflicts_frightened,inflicts_incapacitated,inflicts_paralyzed,inflicts_petrified,inflicts_restrained,inflicts_stunned,inflicts_prone,has_advantage_condition,has_disadvantage_condition,has_attackers_advantage,feature_aggressive,feature_ambusher,feature_amorphous,feature_amphibious,feature_angelic_weapons,feature_antimagic_susceptibility,feature_avoidance,feature_blind_senses,feature_blood_frenzy,feature_breath_weapon,feature_brute,feature_charge,feature_charm,feature_constrict,feature_damage_absorption,feature_damage_transfer,feature_death_burst,feature_devils_sight,feature_dive_attack,feature_echolocation,feature_elemental_body,feature_enlarge,feature_etherealness,feature_false_appearance,feature_fey_ancestry,feature_fiendish_blessing,feature_flyby,feature_frightful_presence,feature_grapple,feature_grappler,feature_hold_breath,feature_horrifying_visage,feature_illumination,feature_immutable_form,feature_incorporeal_movement,feature_innate_spellcasting,feature_invisibility,feature_keen_senses,feature_labyrinthine_recall,feature_leadership,feature_legendary_resistance,feature_life_drain,feature_light_sensitivity,feature_magic_resistance,feature_magic_weapons,feature_martial_advantage,feature_mimicry,feature_nightmare_haunting,feature_nimble_escape,feature_otherworldly_perception,feature_pack_tactics,feature_parry,feature_possession,feature_pounce,feature_prone,feature_psychic_defense,feature_rampage,feature_read_thoughts,feature_reckless,feature_redirect_attack,feature_reel,feature_regeneration,feature_rejuvenation,feature_relentless,feature_shadow_stealth,feature_shapechange,feature_siege_monster,feature_slippery,feature_sneak_attack,feature_spell_immunity,feature_spellcasting,feature_spider_climb,feature_standing_leap,feature_steadfast,feature_stench,feature_sunlight_sensitivity,feature_superior_invisibility,feature_sure_footed,feature_surprise_attack,feature_swallow,feature_teleport,feature_terrain_camouflage,feature_threatening_reach,feature_tunneler,feature_turn_immunity,feature_turn_resistance,feature_two_heads,feature_web,feature_web_sense,feature_web_walker,feature_wounded_fury,feature_ac,feature_attack,total_ac,total_attack,hp_baseline,ac_baseline,attack_baseline,dpr_baseline,dc_baseline,size_ordinal_baseline,speed_ground_baseline,fly_speed_baseline,speed_fly_deviation,darkvision_baseline,darkvision_deviation,ac_deviation,attack_deviation,dpr_deviation,save_dc_deviation,size_ordinal_deviation,speed_ground_deviation,feature_hp,hp_after_phase1,resistance_multiplier,immunity_multiplier,hp_after_phase2,resistance_penalty,immunity_penalty,total_defensive_penalty,hp_after_resist_immun_penalty,has_legendary_resistance_scaled,has_regeneration_scaled,residual_hp,family,cr_tier
Awakened Shrub,Small,plant,Unaligned,10 (3d6),9,20 ft.,0,10,3,-4,8,-1,11,0,10,0,10,0,6,-2,—,—,Fire,Fire,Piercing,—,—,10,—,One Language Known By Its Creator,"[{""Name"":""False Appearance"",""Desc"":""While the shrub remains motionless, it is indistinguishable from a normal shrub.""}]","[{""Name"":""Rake"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""1"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d4 - 1"",""Damage Type"":""slashing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390057900/FPgWQx6HDKZQiyb2WtRWVw/original.png,0.0,10,9,20,0,0,0,0,20,1,0,1,0,0,1,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,1.0,0,3.5,0.0,0,3.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,0,-1.0,-1.0,1.5,0.0,-1.0,-10.0,0.0,4.5,0.25,0.25,6.875,1.71875,0.0,1.71875,5.15625,0.0,0.0,4.84375,awakened shrub,cr1
Baboon,Small,beast,Unaligned,3 (1d6),12,"30 ft., climb 30 ft.",0,10,8,-1,14,2,11,0,4,-3,12,1,6,-2,—,—,—,—,—,—,—,11,—,—,"[{""Name"":""Pack Tactics"",""Desc"":""The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""1"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d4 - 1"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390058080/Qs41s1wx74CmT7VYWrwWdg/original.png,0.0,3,12,30,0,0,0,30,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1.0,0,3.5,0.0,0,3.5,0,0,0,0,0,[],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,0,2.0,0.0,1.5,0.0,-1.0,0.0,0.0,4.5,0.25,0.25,0.375,0.0,0.0,0.0,0.375,0.0,0.0,2.625,baboon,cr1
Deer,Medium,beast,Unaligned,4 (1d8),13,50 ft.,0,10,11,0,16,3,11,0,2,-4,14,2,5,-3,—,—,—,—,—,—,—,12,—,—,—,"[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""2"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d4"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png,0.0,4,13,50,0,0,0,0,50,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,2.0,0,2.5,0.0,0,2.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,0,3.0,0.0,0.5,0.0,0.0,20.0,0.0,4.5,0.25,0.25,-0.375,-0.0,-0.0,-0.28125,-0.09375,-0.0,-0.0,4.09375,deer,cr1
Eagle,Small,beast,Unaligned,3 (1d6),12,"10 ft., fly 60 ft.",0,10,6,-2,15,2,10,0,2,-4,14,2,7,-2,—,Perception +4,—,—,—,—,—,14,—,—,"[{""Name"":""Keen Sight"",""Desc"":""The eagle has advantage on Wisdom (Perception) checks that rely on sight.""}]","[{""Name"":""Talons"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d4 + 2"",""Damage Type"":""slashing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390063498/q0AxKCmrmqzgGBckA7lWyg/original.png,0.0,3,12,10,60,0,0,0,60,2,1,1,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,4.0,0,4.5,0.0,0,4.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,30,60,0,2.0,2.0,2.5,0.0,-1.0,-20.0,0.0,4.5,0.25,0.25,-4.375,-0.0,-0.0,-3.28125,-1.09375,-0.0,-0.0,4.09375,beast,cr1
Frog,Tiny,beast,Unaligned,1 (1d4-1),11,"20 ft., swim 20 ft.",0,10,1,-5,13,1,8,-1,1,-5,8,-1,3,-4,—,"Perception +1, Stealth +3",—,—,—,—,—,11,Darkvision 30 Ft.,—,"[{""Name"":""Amphibious"",""Desc"":""The frog can breathe air and water""},{""Name"":""Standing Leap"",""Desc"":""The frog's long jump is up to 10 ft. and its high jump is up to 5 ft., with or without a running start.""}]",—,—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390063066/ue2oJjZmqrnauEVii6A0jQ/original.png,0.0,1,11,20,0,20,0,0,20,2,0,0,0,2,0,0,0,0,1,30,0,0,0,10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,-30,1.0,-2.0,-2.0,0.0,-2.0,-10.0,0.0,4.5,0.25,0.25,8.5,0.0,0.0,0.0,8.5,0.0,0.0,-7.5,frog,cr1
Giant Fire Beetle,Small,beast,Unaligned,4 (1d6+1),13 (Natural Armor),30 ft.,0,10,8,-1,10,0,12,1,1,-5,7,-2,3,-4,—,—,—,—,—,—,—,8,Blindsight 30 Ft.,—,"[{""Name"":""Illumination"",""Desc"":""The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 ft..""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""1"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 - 1"",""Damage Type"":""slashing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390063702/mnz3jAedGWoXrIe_P9RPPg/original.png,0.0,4,13,30,0,0,0,0,30,1,0,1,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,1.0,0,4.5,0.0,0,4.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,0,3.0,-1.0,2.5,0.0,-1.0,0.0,0.0,4.5,0.25,0.25,0.125,0.0,0.0,0.0,0.125,0.0,0.0,3.875,giant fire beetle,cr1
Goat,Medium,beast,Unaligned,4 (1d8),10,40 ft.,0,10,12,1,10,0,11,0,2,-4,10,0,5,-3,—,—,—,—,—,—,—,10,—,—,"[{""Name"":""Charge"",""Desc"":""If the goat moves at least 20 ft. straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone.""},{""Name"":""Sure-Footed"",""Desc"":""The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.""}]","[{""Name"":""Ram"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d4 + 1"",""Damage Type"":""bludgeoning""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390064325/2MrLj0DD4EEjQ-75vFe8VQ/original.png,0.0,4,10,40,0,0,0,0,40,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,3.0,10,3.5,0.0,0,3.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,0,0.0,1.0,1.5,0.0,0.0,10.0,0.0,4.5,0.25,0.25,0.625,0.0,0.0,0.0,0.625,0.0,0.0,3.375,goat,cr1
Rat,Tiny,beast,Unaligned,1 (1d4-1),10,20 ft.,0,10,2,-4,11,0,9,-1,2,-4,10,0,4,-3,—,—,—,—,—,—,—,10,Darkvision 30 Ft.,—,"[{""Name"":""Keen Smell"",""Desc"":""The rat has advantage on Wisdom (Perception) checks that rely on smell.""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""0"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d1"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390067728/5KEpWJ0iYg95apSHqQLWWA/original.png,0.0,1,10,20,0,0,0,0,20,1,0,0,0,0,0,0,0,0,1,30,0,0,0,10,1,0,0,0,0,0,0.0,0,1.0,0.0,0,1.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,-30,0.0,-2.0,-1.0,0.0,-2.0,-10.0,0.0,4.5,0.25,0.25,9.25,0.0,0.0,0.0,9.25,0.0,0.0,-8.25,beast,cr1
Octopus,Small,beast,Unaligned,3 (1d6),12,"5 ft., swim 30 ft.",0,10,4,-3,15,2,11,0,3,-4,10,0,4,-3,—,"Perception +2, Stealth +4",—,—,—,—,—,12,Darkvision 30 Ft.,—,"[{""Name"":""Hold Breath"",""Desc"":""While out of water, the octopus can hold its breath for 30 minutes.""},{""Name"":""Underwater Camouflage"",""Desc"":""The octopus has advantage on Dexterity (Stealth) checks made while underwater.""},{""Name"":""Water Breathing"",""Desc"":""The octopus can breathe only underwater.""}]","[{""Name"":""Tentacles"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d1"",""Damage Type"":""bludgeoning"",""Desc"":""The target is grappled (escape dc 10) Until this grapple ends, the octopus can't use its tentacles on another target""},{""Name"":""Ink Cloud (Recharges after a Short or Long Rest)"",""Desc"":""A 5-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390066385/PRba3Fh3yc-T9YyPPocJ6w/original.png,0.0,3,12,5,0,30,0,0,30,2,0,1,0,2,0,0,0,0,1,30,0,0,0,10,2,0,0,0,0,0,4.0,10,1.0,0.0,0,1.0,0,0,0,0,1,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,4.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,0,60,-30,2.0,2.0,-1.0,0.0,-1.0,-25.0,0.0,4.5,0.25,0.25,-1.75,-0.0,-0.0,-1.3125,-0.4375,-0.0,-0.0,3.4375,octopus,cr1
Owl,Tiny,beast,Unaligned,1 (1d4-1),11,"5 ft., fly 60 ft.",0,10,3,-4,13,1,8,-1,2,-4,12,1,7,-2,—,"Perception +3, Stealth +3",—,—,—,—,—,13,Darkvision 120 Ft.,—,"[{""Name"":""Flyby"",""Desc"":""The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.""},{""Name"":""Keen Hearing and Sight"",""Desc"":""The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.""}]","[{""Name"":""Talons"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d1"",""Damage Type"":""slashing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390066475/arPjyRhOO-WC0tPzMmGzxQ/original.png,0.0,1,11,5,60,0,0,0,60,2,1,0,0,2,0,0,0,0,1,120,0,0,0,10,1,0,0,0,0,0,3.0,0,1.0,0.0,0,1.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.0,4.5,10.0,2.0,2.0,10.0,2.0,30.0,30,30,60,60,1.0,1.0,-1.0,0.0,-2.0,-25.0,0.0,4.5,0.25,0.25,1.75,0.0,0.0,0.0,1.75,0.0,0.0,-0.75,owl,cr1
