Name,Size,Type,Alignment,HP,AC,Speed,Challenge_Rating,XP,STR,STR_Mod,DEX,DEX_Mod,CON,CON_Mod,INT,INT_Mod,WIS,WIS_Mod,CHA,CHA_Mod,Saving_Throws,Skills,Vulnerabilities,Damage_Vulnerabilities,Resistances,Immunities,Condition_Immunities,Passive_Perception,Senses,Languages,Traits,Actions,Reactions,Legendary_Actions,Legendary_Actions_Num,Bonus_Actions,Source_Name,Image_URL,cr_numeric
Bandit,Medium,humanoid (any race),Any Non-lawful Alignment,11 (2d8+2),12 (Leather Armor),30 ft.,1/8,25,11,0,12,1,12,1,10,0,10,0,10,0,—,—,—,—,—,—,—,10,—,Any One Language (Usually Common),—,"[{""Name"":""Scimitar"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 1"",""Damage Type"":""slashing""},{""Name"":""Light Crossbow"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""3"",""Reach"":""80/320 ft."",""Target"":""one target"",""Damage"":""1d8 + 1"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390058168/cvGQSDE9871pfZPXMZfa2Q/original.png,0.125
Kobold,Small,humanoid (kobold),Lawful Evil,5 (2d6-2),12,30 ft.,1/8,25,7,-2,15,2,9,-1,8,-1,7,-2,8,-1,—,—,—,—,—,—,—,8,Darkvision 60 Ft.,"Common, Draconic","[{""Name"":""Sunlight Sensitivity"",""Desc"":""While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.""},{""Name"":""Pack Tactics"",""Desc"":""The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]","[{""Name"":""Dagger"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d4 + 2"",""Damage Type"":""piercing""},{""Name"":""Sling"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""4"",""Reach"":""30/120 ft."",""Target"":""one target"",""Damage"":""1d4 + 2"",""Damage Type"":""bludgeoning""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390065390/c9xfEhjuslpK4cAFAw7A7A/original.png,0.125
Goblin,Small,humanoid (goblinoid),Neutral Evil,7 (2d6),"15 (Leather Armor, Shield)",30 ft.,1/4,50,8,-1,14,2,10,0,10,0,8,-1,8,-1,—,Stealth +6,—,—,—,—,—,9,Darkvision 60 Ft.,"Common, Goblin","[{""Name"":""Nimble Escape"",""Desc"":""The goblin can take the Disengage or Hide action as a bonus action on each of its turns.""}]","[{""Name"":""Scimitar"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""slashing""},{""Name"":""Shortbow"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""4"",""Reach"":""80/320 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390064346/r02-1vRP1XQSg3iWbV3fjQ/original.png,0.25
Zombie,Medium,undead,Neutral Evil,22 (3d8+9),8,20 ft.,1/4,50,13,1,6,-2,16,3,3,-4,6,-2,5,-3,Wis +0,—,—,—,—,Poison,Poisoned,8,Darkvision 60 Ft.,Understands All Languages It Spoke In Life But Can't Speak,"[{""Name"":""Undead Fortitude"",""Desc"":""If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.""}]","[{""Name"":""Slam"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 1"",""Damage Type"":""bludgeoning""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390117229/hdvSrygFbQ1zdbKB3NbT9A/original.png,0.25
Swarm of Insects,Medium,swarm of tiny beasts,Unaligned,22 (5d8),12 (Natural Armor),"20 ft., climb 20 ft.",1/2,100,3,-4,13,1,10,0,1,-5,7,-2,1,-5,—,—,—,—,"Bludgeoning, Piercing, Slashing",—,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",8,Blindsight 10 Ft.,—,"[{""Name"":""Swarm"",""Desc"":""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.""}]","[{""Name"":""Bites (swarm has more than half HP)"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""0 ft."",""Target"":""one target in the swarm's space"",""Damage"":""4d4"",""Damage Type"":""piercing""},{""Name"":""Bites (swarm has half HP or less)"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""0 ft."",""Target"":""one target in the swarm's space"",""Damage"":""2d4"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390116069/KfJYcVcUH1zizfLfAL3xQQ/original.png,0.5
Ape,Medium,beast,Unaligned,19 (3d8+6),12,"30 ft., climb 30 ft.",1/2,100,16,3,14,2,14,2,6,-2,12,1,7,-2,—,"Athletics +5, Perception +3",—,—,—,—,—,13,—,—,—,"[{""Name"":""Multiattack"",""Desc"":""The ape makes two fist attacks.""},{""Name"":""Fist"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""5"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 3"",""Damage Type"":""bludgeoning""},{""Name"":""Rock"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""5"",""Reach"":""25/50 ft."",""Target"":""one target"",""Damage"":""1d6 + 3"",""Damage Type"":""bludgeoning""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390057691/_ncBC1uwPRUeqNSJwJdLrA/original.png,0.5
Giant Spider,Large,beast,Unaligned,26 (4d10+4),14 (Natural Armor),"30 ft., climb 30 ft.",1,200,14,2,16,3,12,1,2,-4,11,0,4,-3,—,Stealth +7,—,—,—,—,—,10,"Blindsight 10 Ft., Darkvision 60 Ft.",—,"[{""Name"":""Spider Climb"",""Desc"":""The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.""},{""Name"":""Web Sense"",""Desc"":""While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.""},{""Name"":""Web Walker"",""Desc"":""The spider ignores movement restrictions caused by webbing.""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""5"",""Reach"":""5 ft."",""Target"":""one creature"",""Damage"":""1d8 + 3"",""Damage Type"":""piercing"",""Damage 2"":""2d8"",""Damage 2 Type"":""poison"",""Desc"":""The target must make a DC 11 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.""},{""Name"":""Web (Recharge 5-6)"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""5"",""Reach"":""30/60 ft."",""Target"":""one creature"",""Desc"":""The target is restrained by webbing As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390063781/Ahu35xxQMN-1_haFQAPusQ/original.png,1.0
Dire Wolf,Large,beast,Unaligned,37 (5d10+10),14 (Natural Armor),50 ft.,1,200,17,3,15,2,15,2,3,-4,12,1,7,-2,—,"Perception +3, Stealth +4",—,—,—,—,—,13,—,—,"[{""Name"":""Keen Hearing and Smell"",""Desc"":""The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.""},{""Name"":""Pack Tactics"",""Desc"":""The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""5"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d6 + 3"",""Damage Type"":""piercing"",""Desc"":""If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390061969/tAnX706DDeqCqrlFAtxE0w/original.png,1.0
Ogre,Large,giant,Chaotic Evil,59 (7d10+21),11 (Hide Armor),40 ft.,2,450,19,4,8,-1,16,3,5,-3,7,-2,7,-2,—,—,—,—,—,—,—,8,Darkvision 60 Ft.,"Common, Giant",—,"[{""Name"":""Greatclub"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""6"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d8 + 4"",""Damage Type"":""bludgeoning""},{""Name"":""Javelin (Melee)"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""6"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d6 + 4"",""Damage Type"":""piercing""},{""Name"":""Javelin (Ranged)"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""6"",""Reach"":""30/120 ft."",""Target"":""one target"",""Damage"":""2d6 + 4"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390066397/blTLLKTO7PcODGKdOnvCsA/original.png,2.0
Pegasus,Large,celestial,Chaotic Good,59 (7d10+21),12,"60 ft., fly 90 ft.",2,450,18,4,15,2,16,3,10,0,15,2,13,1,"Dex +4, Wis +4, Cha +3",Perception +6,—,—,—,—,—,16,—,"Understands Celestial, Common, Elvish, And Sylvan But Can't Speak",—,"[{""Name"":""Hooves"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""6"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d6 + 4"",""Damage Type"":""bludgeoning""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390066523/BasYiqdiZGI1Et0wRcvdYA/original.png,2.0
