pattern,features,mapping_type,notes,count,monsters
aura,,unmapped,Broad aura pattern - partially captured by specific conditions,63,Adult Black Dragon|Adult Brass Dragon|Adult Bronze Dragon|Adult Copper Dragon|Adult Gold Dragon|Adult Green Dragon|Adult Silver Dragon|Ancient Black Dragon|Ancient Blue Dragon|Ancient Brass Dragon|Ancient Bronze Dragon|Ancient Copper Dragon|Ancient Gold Dragon|Ancient Green Dragon|Ancient Red Dragon|Ancient Silver Dragon|Ancient White Dragon|Androsphinx|Balor|Bearded Devil|Black Pudding|Chain Devil|Chuul|Cloaker|Diseased Giant Rat|Djinni|Flesh Golem|Gelatinous Cube|Gibbering Mouther|Hezrou|Ice Devil|Incubus|Kraken|Lich|Magma Mephit|Mummy Lord|Nalfeshnee|Nightmare|Pit Fiend|Purple Worm|Remorhaz|Rust Monster|Sahuagin|Sea Hag|Shield Guardian|Shrieker|Storm Giant|Succubus|Succubus (Incubus)|Tarrasque|Treant|Vrock|Water Elemental|Will-o'-Wisp|Wraith
fear_effect,,unmapped,Frightful Presence / fear aura (beyond inflicts_frightened),45,Adult Black Dragon|Adult Blue Dragon|Adult Brass Dragon|Adult Bronze Dragon|Adult Copper Dragon|Adult Gold Dragon|Adult Green Dragon|Adult Red Dragon|Adult Silver Dragon|Adult White Dragon|Ancient Black Dragon|Ancient Blue Dragon|Ancient Brass Dragon|Ancient Bronze Dragon|Ancient Copper Dragon|Ancient Gold Dragon|Ancient Green Dragon|Ancient Red Dragon|Ancient Silver Dragon|Ancient White Dragon|Androsphinx|Ghost|Sea Hag|Tarrasque
shapechange,,unmapped,No feature for shapechange ability,26,Adult Bronze Dragon|Adult Gold Dragon|Adult Silver Dragon|Ancient Brass Dragon|Ancient Bronze Dragon|Ancient Copper Dragon|Ancient Gold Dragon|Ancient Silver Dragon|Couatl|Deva|Doppelganger|Imp|Incubus|Mimic|Night Hag|Oni|Quasit|Succubus|Succubus (Incubus)|Vampire|Werebear|Wereboar|Wererat|Weretiger|Werewolf
regains_hp,,unmapped,HP recovery abilities (beyond regeneration),25,Aboleth|Bearded Devil|Diseased Giant Rat|Hydra|Mummy|Mummy Lord|Oni|Pit Fiend|Shield Guardian|Swarm of Bats|Swarm of Beetles|Swarm of Centipedes|Swarm of Insects|Swarm of Poisonous Snakes|Swarm of Quippers|Swarm of Rats|Swarm of Ravens|Swarm of Spiders|Swarm of Wasps|Troll|Vampire|Vampire Spawn
revert_form,,unmapped,Paired with shapechange,24,Adult Bronze Dragon|Adult Gold Dragon|Adult Silver Dragon|Ancient Brass Dragon|Ancient Bronze Dragon|Ancient Copper Dragon|Ancient Gold Dragon|Ancient Silver Dragon|Couatl|Deva|Doppelganger|Imp|Incubus|Mimic|Oni|Quasit|Succubus|Succubus (Incubus)|Vampire|Werebear|Wereboar|Wererat|Weretiger|Werewolf
cant_regain_hp,,unmapped,Prevents target HP recovery,14,Aboleth|Bearded Devil|Mummy|Mummy Lord|Swarm of Bats|Swarm of Beetles|Swarm of Centipedes|Swarm of Insects|Swarm of Poisonous Snakes|Swarm of Quippers|Swarm of Rats|Swarm of Ravens|Swarm of Spiders|Swarm of Wasps
ongoing_damage,,unmapped,Recurring damage each turn,14,Behir|Chain Devil|Fire Elemental|Gelatinous Cube|Giant Frog|Giant Toad|Kraken|Magmin|Pit Fiend|Purple Worm|Remorhaz|Tarrasque|Vrock
swallow,,unmapped,Swallow/engulf mechanic,13,Behir|Darkmantle|Gelatinous Cube|Giant Frog|Giant Toad|Kraken|Purple Worm|Remorhaz|Shambling Mound|Tarrasque
reduces_hp_max,,unmapped,"HP max reduction (vampires, wraiths)",12,Clay Golem|Incubus|Mummy|Mummy Lord|Night Hag|Specter|Succubus|Succubus (Incubus)|Vampire|Vampire Spawn|Wight|Wraith
explodes_on_death,,unmapped,Explosion on death,11,Balor|Dust Mephit|Flesh Golem|Gibbering Mouther|Hydra|Ice Devil|Ice Mephit|Magma Mephit|Magmin|Steam Mephit|Vampire Spawn
